id,fill,category,type,brand,bottle,age,abv,proof,cask,distillery,corp_owner,origin,char_level,mash_bill,tasting_notes
0134,plenty,American & Bourbon,Straight Corn,Mellow Corn,,4,50%,100°,Used barrels,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#2,"{""corn"": ""80"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""8"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Rubbing alcohol overwhelms on first sniff then turns into grape bubble gum, toasted marshmallow, vanilla Oreos. After tasting, graham crackers, grain dust"", ""palate"": ""Vanilla cream into honey into baking spice. Citrus or something tart, youthy grain notes."", ""finish"": ""Medium""}"
0135,plenty,American & Bourbon,Straight Bourbon,New Riff,Straight Bourbon,4,50%,100°,,New Riff Distillery,Independent,Kentucky,#3,"{""corn"": ""65"", ""barley"": """", ""maltedBarley"": ""5"", ""rye"": ""30"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Orange zest, rye grass spice, toffee, leather briefcase, sweet caramel,"", ""palate"": ""Orange xmas spice, classic bourbon leather/oak/spice with rye mint trying to take over"", ""finish"": ""Medium""}"
0136,average,American & Bourbon,Straight Bourbon,Old Forester,1920,(7-9),57.5%,115°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Black cherry cola, leatherbound book, tobacco. After tasting spicy grass"", ""palate"": ""Dark cherry to cinnamon spicy, dark chocolate covered cherry with cayenne"", ""finish"": ""Long""}"
0137,plenty,American & Bourbon,Straight Bourbon,Old Forester,1910,(6-8),46.5%,93°,Finished: heavily charred new oak (double barreled),Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cherry cola/cough syrup, dusty barn/grain, black pepper, leather, brown sugar, chocolate covered coffee beans"", ""palate"": ""Cherry cough syrup, black pepper"", ""finish"": ""Medium to Long""}"
0138,average,American & Bourbon,Straight Bourbon,Old Forester,1897,(6-8),50%,100°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0139,low,American & Bourbon,Straight Bourbon,Old Forester,1870,(5-7),45%,90°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0140,plenty,American & Bourbon,Straight Bourbon,Old Forester,86,(4-6),43%,86°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cherry cola, spearmint citrus, leather. After tasting brownie, vanilla, marshmallow"", ""palate"": ""Soft red fruit and citrus rolling into spearmint spice"", ""finish"": ""Medium""}"
0141,extremely-low,American & Bourbon,Straight Bourbon,Old Forester,Single Barrel Whse L Floor 3,(6-9),50%,100°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0142,average,American & Bourbon,Straight Bourbon,Old Forester,King Ranch,(6-9),52.5%,105°,Mesquite charcoal filtered,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0143,average,American & Bourbon,Straight Bourbon,Old Grand-Dad,114,(4-5),57%,114°,High-rye mash bill,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""63"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""27"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0144,average,American & Bourbon,Straight Bourbon,Penelope,Toasted,4,50%,100°,,Various (Sourced),Independent,Indiana,#1,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""4"", ""rye"": ""21"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0145,low,American & Bourbon,Straight Bourbon,Russell's Reserve,10 yr,10,45%,90°,,Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0146,extremely-low,American & Bourbon,Straight Bourbon,Russell's Reserve,Single Barrel,(9-12),55%,110°,,Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0147,plenty,American & Bourbon,Straight Bourbon,Smokeye Hill,Barrel Proof,5,67.1%,134.2°,,Smokeye Hill Distillery,Independent,Colorado,(#3),"{""corn"": ""(70)"", ""barley"": """", ""maltedBarley"": ""(10)"", ""rye"": ""(20)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Raisin, corn dust, molasses, vanilla,"", ""palate"": ""Cinnamon, black pepper, dark dried fruit"", ""finish"": ""Medium""}"
0148,low,American & Bourbon,Straight Bourbon,Still Austin,The Musician Cask Strength,2,59%,118°,Texas grain,Still Austin Distillery,Independent,Texas,#3,"{""corn"": ""70"", ""barley"": """", ""maltedBarley"": ""5"", ""rye"": ""25"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0149,low,American & Bourbon,Straight Bourbon,Still Austin,The Musician,2,49.2%,98.4°,Texas grain,Still Austin Distillery,Independent,Texas,#3,"{""corn"": ""70"", ""barley"": """", ""maltedBarley"": ""5"", ""rye"": ""25"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0150,plenty,American & Bourbon,Tennessee,Trader Joe's,Tennessee Sour Mash Bourbon,0.5,40%,80°,Lincoln County Process charcoal filtered (maple),Contract / Undisclosed,Trader Joe's,Tennessee,(#3),"{""corn"": ""(80)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": ""(8)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Nail polish, marker, green apple, colored marshmallows, sugar, nutty"", ""palate"": ""Sour, metallic, pistachio husk"", ""finish"": ""Short""}"
0151,plenty,American & Bourbon,Straight Bourbon,Trader Joe's,Kentucky Straight Bourbon,(4-6),45%,90°,,Contract / Undisclosed,Trader Joe's,Kentucky,(#4),"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": ""(13)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0152,plenty,American & Bourbon,Blended Straight Whiskey,TX Whiskey,Experimental Series #15,8,41.8%,83.5°,"Blend: 5yr straight rye, 5yr bourbon finished in vino de naranja casks for 3yr (Spanish white wine fortified with orange peels as it aged)",Firestone & Robertson Distilling Co.,Pernod Ricard,Texas,(#3),"{""corn"": ""74 / 0"", ""barley"": """", ""maltedBarley"": ""12 / 0"", ""rye"": ""14 / 85"", ""maltedRye"": ""0 / 15"", ""wheat"": """"}","{""nose"": ""Green apple, butterscotch, caramel/brown sugar, slight coconut, slight grassy rye,"", ""palate"": ""Coffee, mint, green apple, fancy jam in little jar"", ""finish"": ""Short to Medium""}"
0153,plenty,American & Bourbon,Straight Bourbon,Very Old Barton,80 Proof,(4-6),40%,80°,,Barton 1792 Distillery,Sazerac,Kentucky,#3,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""15"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0154,extremely-low,American & Bourbon,Straight Bourbon,Very Old Barton,100 Proof,(4-6),50%,100°,,Barton 1792 Distillery,Sazerac,Kentucky,#3,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""15"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0155,plenty,American & Bourbon,Straight Bourbon,Wild Turkey,101,6-8,50.5%,101°,,Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0156,average,American & Bourbon,Straight Bourbon,Wild Turkey,101 8 yr,8,50.5%,101°,,Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0157,average,American & Bourbon,Straight Bourbon,Wild Turkey,Rare Breed,6-12,58.4%,116.8°,"Blend: 6, 8 & 12yr barrels; uncut",Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cornbread, peach pie, tobacco, lemon zest, cinnamon, wintergreen mint"", ""palate"": ""Fruit pie, cinnamon for days"", ""finish"": ""Long""}"
0158,plenty,American & Bourbon,Straight Bourbon,Woodford Reserve,Double Oaked,(6-7),45.2%,90.4°,Finished: heavy toast / light char new oak (double barreled),Woodford Reserve Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0159,plenty,American & Bourbon,Straight Bourbon,Woodford Reserve,Woodford Reserve,(6-7),45.2%,90.4°,Triple distilled (pot still),Woodford Reserve Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0160,bottle-kill,American Wheat,Wheated Straight Bourbon,Crowded Barrel,Eleanor,4,60%,120°,,Various (Sourced),Independent,Indiana,(#3),"{""corn"": ""51"", ""barley"": """", ""maltedBarley"": ""4"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""45""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0161,plenty,,,Plenty,,XX official age,,,,,,,,"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0162,average,,,Average,,XX-XX range,,,,,,,,"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0163,low,,,Low,,XX.XX yrs.mos,,,,,,,,"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0164,extremely-low,,,Extremely Low,,(XX) assumed age,,,,,,,,"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
